Companies,SICS Industry,Total Scope 1 GHG Emissions,Total Scope 2 market-based GHG emissions,Total Scope 3 GHG Emissions,Indicates disclosure of assurance or verification of GHG emissions,Indicates disclosure of absolute GHG emissions reduction target,Indicates disclosure of GHG emissions intensity reduction target,Indicates disclosure of validation of GHG emissions reduction targets,Stock Name,Stock Price,Currency,USDStockPrice,Sustainability Score
PERNOD RICARD,Alcoholic Beverages,"265,819.000 tCO₂e","29,178.000 tCO₂e","2,887,407.000 tCO₂e",1,1,1,1,RI.PA,156.7,EUR,168.89,3
PROXIMUS,Telecommunication Services,"26,620.000 tCO₂e",0.000 tCO₂e,"432,789.280 tCO₂e",1,1,0,1,PROX.BR,8.382,EUR,9.03,4
QUALCOMM INCORPORATED,Semiconductors,"106,659.000 tCO₂e","171,932.000 tCO₂e","4,179,986.000 tCO₂e",1,1,0,0,QCOM,148.18,USD,148.18,3
Schindler Holding AG,Electrical & Electronic Equipment,"135,905.000 tCO₂e","8,809.000 tCO₂e","9,777,459.000 tCO₂e",1,1,0,1,SCHN.SW,205.8,CHF,235.21,3
"SERVICENOW, INC.",Software & IT Services,"1,401.000 tCO₂e",434.000 tCO₂e,"178,416.000 tCO₂e",1,1,1,1,NOW,799.41,USD,799.41,2
SPLUNK INC.,Software & IT Services,24.000 tCO₂e,"2,703.000 tCO₂e","20,635.000 tCO₂e",1,1,0,0,SPLK,154.25,USD,154.25,1
SSAB AB,Iron & Steel Producers,"10,640,817.000 tCO₂e","1,028,850.000 tCO₂e",0.000 tCO₂e,1,1,0,1,SSAB-B.ST,80.32,SEK,7.68,2
Steelcase Inc,Building Products & Furnishings,"32,763.550 tCO₂e",0.000 tCO₂e,"607,750.785 tCO₂e",1,null,null,null,SCS,12.86,USD,12.86,3
"Super Micro Computer, Inc.",Hardware,"3,154.000 tCO₂e","4,491.000 tCO₂e","9,514,276.000 tCO₂e",0,1,0,0,SMCI,698,USD,698,2
SWECO AB (publ),Engineering & Construction Services,"5,472.000 tCO₂e","9,149.000 tCO₂e","14,403.000 tCO₂e",0,1,0,0,SWEC-B.ST,120.3,SEK,11.5,1
"TAPESTRY, INC.","Apparel, Accessories & Footwear","3,523.000 tCO₂e","37,245.000 tCO₂e","411,583.000 tCO₂e",1,1,0,null,TPR,42.99,USD,42.99,2
TESCO PLC,Food Retailers & Distributors,"1,053,131.000 tCO₂e","13,631.000 tCO₂e","56,241,579.000 tCO₂e",1,null,null,null,TSCO.L,280.4,GBp,353.84,3
THERMO FISHER SCIENTIFIC INC.,Medical Equipment & Supplies,"298,043.000 tCO₂e","314,972.000 tCO₂e","11,702,924.000 tCO₂e",1,1,0,0,TMO,550.89,USD,550.89,2
"Thor Industries, Inc.",Automobiles,"58,507.000 tCO₂e","51,726.000 tCO₂e",0.000 tCO₂e,0,1,1,0,THO,116.5,USD,116.5,1
UNILEVER PLC,Household & Personal Products,"565,987.707 tCO₂e","144,752.170 tCO₂e","61,445,738.000 tCO₂e",1,1,1,1,UL,50.68,USD,50.68,5
VISTRY GROUP PLC,Home Builders,"22,290.000 tCO₂e","3,727.000 tCO₂e","1,752,795.000 tCO₂e",1,1,1,0,VTY.L,973.5,GBp,1228.46,2
VISA INC.,Software & IT Services,"4,018.000 tCO₂e",0.000 tCO₂e,"320,987.000 tCO₂e",1,1,0,1,V,275.78,USD,275.78,5
VIVENDI SE,Media & Entertainment,"12,294.000 tCO₂e","19,813.000 tCO₂e","1,519,739.000 tCO₂e",1,1,0,0,VIV.PA,10.17,EUR,10.96,2
VODAFONE GROUP PUBLIC LIMITED COMPANY,Telecommunication Services,"271,626.000 tCO₂e","1,096,240.000 tCO₂e","9,400,837.000 tCO₂e",1,null,null,null,VOD,8.16,USD,8.16,4
YKK CORPORATION,0t Classified by SICS,"76,357.000 tCO₂e","383,282.000 tCO₂e","539,893.000 tCO₂e",0,null,null,null,YKK.BE,26.2,EUR,28.24,5
